   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

2, 30, 20, 1, 17, True, True, False, False, South, 4, 4, 0, 9, 999999, 9, 999999, 4, 0, 4, 0, 2, 1, 1, 1, 0, None, South, None, South, South, 13, 0, -1, -1,South, -2
3, 30, 20, 1, 16, True, True, True, False, South, 4, 4, 0, 8, 999999, 8, 999999, 4, 0, 4, 0, 2, 2, 0, 1, 1, None, East, None, West, North, 12, 0, -1, -2,South, -3
4, 30, 20, 1, 15, True, True, True, False, South, 4, 4, 0, 7, 999999, 7, 999999, 1, 0, 4, 0, 3, 2, 1, 0, 1, None, North, None, East, North, 11, 0, -1, -3,South, -4
5, 30, 20, 1, 14, True, True, True, False, South, 4, 4, 0, 6, 999999, 6, 999999, 1, 0, 4, 0, 3, 1, 2, 1, 0, None, West, None, North, West, 9, 0, -1, -4,South, -5
6, 30, 20, 1, 13, True, True, False, False, South, 4, 4, 0, 5, 999999, 5, 999999, 2, 0, 4, 0, 3, 0, 2, 1, 1, None, West, None, East, West, 7, 0, -1, -5,South, -6
7, 30, 20, 1, 12, True, True, True, False, South, 4, 4, 0, 4, 999999, 4, 999999, 2, 0, 4, 0, 3, 1, 1, 1, 1, None, West, None, North, West, 6, 0, -1, -6,South, -7
8, 30, 20, 1, 11, True, True, False, False, South, 4, 4, 0, 3, 999999, 3, 999999, 2, 0, 4, 0, 3, 0, 2, 2, 0, None, West, None, South, West, 5, 0, -1, -7,South, -8
9, 30, 20, 1, 10, True, True, False, False, South, 4, 4, 1, 1, 999999, 1, 999999, 1, 0, 4, 0, 4, 1, 0, 0, 3, None, North, None, East, North, 3, 0, -1, -8,South, -9
10, 30, 20, 1, 9, True, True, False, False, South, 4, 4, 1, 0, 999999, 3, 999999, 1, 0, 3, 0, 4, 1, 1, 1, 1, None, West, None, North, East, 3, 0, -1, -9,South, -10
11, 30, 20, 1, 8, True, True, False, False, South, 4, 4, 2, 0, 999999, 2, 999999, 2, 0, 3, 0, 4, 0, 1, 1, 2, None, West, None, East, South, 3, 0, -1, -10,South, -11
12, 30, 20, 1, 7, True, True, False, False, South, 4, 4, 3, 1, 2, 1, 999999, 3, 1, 3, 0, 4, 1, 0, 2, 1, North, West, None, East, West, 4, 0, -1, -11,South, -12
13, 30, 20, 1, 6, True, True, True, False, South, 4, 4, 3, 0, 3, 2, 999999, 3, 1, 2, 0, 4, 1, 1, 1, 1, North, East, None, South, West, 3, 0, -1, -12,East, -13
14, 30, 20, 2, 6, False, True, True, True, East, 4, 4, 2, 1, 3, 1, 999999, 2, 1, 3, 0, 4, 0, 2, 0, 2, East, South, None, South, South, 3, 0, -1, -13,South, -14
15, 30, 20, 2, 5, True, True, True, True, South, 4, 4, 2, 0, 3, 2, 999999, 2, 1, 2, 0, 4, 0, 2, 1, 1, South, East, None, West, South, 2, 0, -1, -14,East, -15
16, 30, 20, 3, 5, True, True, True, True, East, 4, 4, 0, 0, 3, 2, 999999, 1, 1, 2, 0, 3, 0, 0, 2, 2, West, East, None, West, West, 2, 0, -1, -15,South, -16
17, 30, 20, 3, 4, True, True, True, True, South, 4, 3, 1, 1, 2, 1, 999999, 1, 2, 1, 0, 3, 1, 1, 0, 1, North, East, None, South, Stop, 3, 0, -1, 184,North, 183
18, 30, 20, 3, 5, True, True, True, True, North, 4, 3, 0, 0, 2, 2, 999999, 2, 1, 1, 0, 2, 0, 1, 1, 1, West, East, None, South, South, 2, 0, -1, 183,East, 182
19, 30, 20, 4, 5, True, True, True, True, East, 4, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 1, North, East, North, North, North, 2, 0, -1, 182,North, 181
20, 30, 20, 4, 6, True, True, True, True, North, 4, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, North, North, South, North, North, 2, 0, -1, 181,North, 180
21, 30, 20, 4, 7, True, True, True, True, North, 4, 3, 1, 0, 1, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, North, North, Stop, North, Stop, 1, 0, -1, 180,West, 379
22, 30, 20, 3, 7, True, True, True, False, West, 4, 2, 2, 1, 1, 3, 999999, 2, 1, 1, 0, 2, 1, 1, 0, 0, North, South, None, North, North, 3, 0, -1, 379,North, 378
23, 30, 20, 3, 8, True, True, True, False, North, 4, 2, 2, 1, 1, 5, 999999, 2, 1, 1, 0, 2, 1, 1, 0, 0, North, South, None, North, North, 3, 0, -1, 378,North, 377
24, 30, 20, 3, 9, True, True, True, False, North, 4, 2, 1, 0, 999999, 6, 999999, 1, 0, 1, 0, 2, 0, 1, 0, 0, None, South, None, Stop, Stop, 1, 0, -1, 377,East, 576
25, 30, 20, 4, 9, True, True, True, True, East, 4, 1, 4, 5, 999999, 5, 999999, 4, 0, 1, 0, 1, 1, 0, 0, 0, None, North, None, North, North, 9, 0, -1, 576,South, 575
26, 30, 20, 4, 8, True, True, True, True, South, 4, 1, 4, 4, 999999, 4, 999999, 4, 0, 1, 0, 1, 1, 0, 0, 0, None, North, None, North, North, 8, 0, -1, 575,South, 574
27, 30, 20, 4, 7, True, True, True, True, South, 4, 1, 4, 3, 999999, 3, 999999, 4, 0, 1, 0, 1, 1, 0, 0, 0, None, North, None, North, North, 7, 0, -1, 574,South, 573
28, 30, 20, 4, 6, True, True, True, True, South, 4, 1, 4, 3, 999999, 3, 999999, 4, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, Stop, 6, 0, -1, 573,South, 572
29, 30, 20, 4, 5, True, True, True, True, South, 4, 1, 5, 2, 999999, 2, 999999, 5, 0, 1, 0, 1, 0, 0, 0, 1, None, East, None, East, Stop, 5, 0, -1, 572,South, 571
30, 30, 20, 4, 4, True, True, True, True, South, 4, 1, 4, 1, 999999, 1, 999999, 4, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, Stop, 4, 0, -1, 571,South, 570
31, 30, 20, 4, 3, True, False, True, True, South, 4, 1, 5, 0, 999999, 999999, 999999, 5, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, Stop, 3, 0, -1, 570,East, 569
32, 30, 20, 5, 3, True, False, True, True, East, 4, 1, 5, 0, 999999, 999999, 999999, 5, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, Stop, 2, 0, -1, 569,East, 568
33, 30, 20, 6, 3, False, False, True, True, East, 4, 1, 3, 0, 999999, 999999, 999999, 3, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 3, 0, -1, 568,East, 567
34, 30, 20, 7, 3, False, False, True, True, East, 4, 1, 2, 0, 999999, 999999, 999999, 2, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 2, 0, -1, 567,East, 566
1, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, 0, 999999, 2, 999999, 5, 0, 3, 0, 4, 0, 0, 0, 0, None, Stop, None, Stop, Stop, 7, 2, 14, 0,South, -1
2, 20, 13, 1, 10, True, True, False, False, South, 4, 4, 4, 1, 1, 2, 999999, 4, 1, 3, 0, 4, 0, 2, 2, 0, West, South, None, West, South, 7, 2, 13, -1,South, -2
3, 20, 13, 1, 9, True, True, True, False, South, 4, 4, 5, 0, 2, 4, 999999, 5, 1, 2, 0, 4, 1, 0, 0, 3, East, East, None, East, North, 5, 2, 12, -2,East, -3
4, 20, 13, 2, 9, False, True, True, True, East, 4, 4, 3, 1, 1, 4, 999999, 3, 2, 2, 0, 4, 1, 0, 3, 0, North, West, None, West, North, 5, 2, 11, -3,East, -4
5, 20, 13, 3, 9, False, True, True, True, East, 4, 4, 2, 0, 2, 4, 999999, 2, 1, 2, 0, 4, 0, 2, 2, 0, West, West, None, South, South, 3, 2, 10, -4,East, -5
6, 20, 13, 4, 9, False, True, True, True, East, 4, 4, 0, 1, 2, 1, 999999, 2, 1, 3, 0, 3, 0, 1, 3, 0, West, South, None, South, South, 3, 2, 9, -5,South, -6
7, 20, 13, 4, 8, True, True, True, True, South, 4, 4, 1, 1, 1, 3, 999999, 1, 2, 2, 0, 4, 1, 0, 1, 2, North, East, None, East, North, 3, 2, 8, -6,North, -7
8, 20, 13, 4, 9, False, True, True, True, North, 4, 4, 1, 0, 2, 4, 999999, 1, 1, 2, 0, 4, 1, 1, 1, 1, East, West, None, South, North, 2, 2, 9, -7,East, -8
9, 20, 13, 5, 9, True, True, True, True, East, 4, 4, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 0, 1, 2, 1, East, South, West, South, South, 2, 2, 8, -8,South, -9
10, 20, 13, 5, 8, True, True, True, True, South, 4, 3, 1, 3, 3, 3, 1, 4, 1, 2, 1, 2, 0, 0, 2, 1, East, West, West, East, West, 6, 2, 7, 191,North, 190
11, 20, 13, 5, 9, True, True, True, True, North, 4, 3, 0, 2, 2, 4, 999999, 3, 1, 2, 0, 2, 0, 0, 2, 1, West, West, None, West, West, 5, 2, 8, 190,North, 189
12, 20, 13, 5, 10, True, True, True, False, North, 4, 3, 1, 1, 1, 5, 999999, 1, 1, 2, 0, 3, 0, 0, 2, 1, West, West, None, East, West, 4, 2, 9, 189,North, 188
13, 20, 13, 5, 11, False, True, True, True, North, 4, 3, 1, 0, 999999, 6, 999999, 1, 0, 2, 0, 3, 0, 0, 1, 2, None, West, None, East, East, 4, 2, 10, 188,East, 187
14, 20, 13, 6, 11, False, True, True, True, East, 4, 3, 0, 0, 999999, 7, 999999, 3, 0, 2, 0, 2, 1, 1, 0, 1, None, North, None, East, East, 3, 2, 9, 187,East, 186
15, 20, 13, 7, 11, False, False, True, True, East, 4, 3, 1, 0, 999999, 6, 1, 3, 0, 2, 1, 2, 2, 0, 0, 1, None, North, North, East, East, 3, 2, 8, 186,East, 185
16, 20, 13, 8, 11, False, False, True, True, East, 4, 3, 2, 0, 999999, 6, 2, 2, 0, 2, 1, 2, 1, 0, 1, 1, None, West, North, East, East, 2, 2, 7, 185,East, 184
17, 20, 13, 9, 11, False, False, True, True, East, 4, 3, 1, 0, 999999, 6, 4, 1, 0, 2, 1, 2, 0, 0, 2, 0, None, West, West, Stop, Stop, 1, 2, 6, 184,East, 383
18, 20, 13, 10, 11, False, True, True, True, East, 4, 2, 0, 7, 999999, 7, 5, 999999, 0, 2, 1, 0, 0, 1, 1, 0, None, West, West, None, South, 7, 2, 5, 383,South, 382
19, 20, 13, 10, 10, True, True, True, False, South, 4, 2, 1, 6, 999999, 6, 1, 999999, 0, 2, 2, 0, 0, 0, 2, 0, None, West, West, None, West, 7, 2, 4, 382,South, 381
20, 20, 13, 10, 9, True, True, True, True, South, 4, 2, 2, 5, 999999, 5, 2, 999999, 0, 2, 2, 0, 0, 0, 1, 1, None, East, West, None, West, 7, 2, 3, 381,South, 380
21, 20, 13, 10, 8, True, True, False, True, South, 4, 2, 2, 4, 999999, 4, 2, 999999, 0, 2, 2, 0, 0, 0, 2, 0, None, West, West, None, West, 6, 2, 2, 380,South, 379
22, 20, 13, 10, 7, True, True, False, True, South, 4, 2, 1, 3, 999999, 3, 1, 999999, 0, 2, 2, 0, 0, 0, 1, 1, None, West, East, None, East, 4, 1, 7, 379,South, 478
23, 20, 13, 10, 6, True, True, False, True, South, 4, 2, 0, 1, 999999, 1, 7, 999999, 0, 2, 1, 0, 1, 0, 0, 1, None, North, North, None, East, 2, 1, 8, 478,South, 477
24, 20, 13, 10, 5, True, True, True, True, South, 4, 2, 1, 0, 999999, 1, 6, 1, 0, 1, 1, 1, 0, 0, 0, 2, None, East, East, East, East, 2, 1, 9, 477,South, 476
25, 20, 13, 10, 4, True, True, True, True, South, 4, 2, 1, 1, 1, 999999, 5, 1, 2, 0, 1, 1, 1, 0, 0, 1, East, None, East, North, North, 2, 1, 10, 476,East, 475
26, 20, 13, 11, 4, True, True, False, True, East, 4, 2, 1, 1, 1, 999999, 1, 999999, 2, 0, 2, 0, 0, 0, 1, 1, East, None, West, None, West, 2, 1, 9, 475,North, 474
27, 20, 13, 11, 5, False, True, True, True, North, 4, 2, 1, 1, 999999, 1, 1, 999999, 0, 2, 2, 0, 0, 2, 0, 0, None, South, South, None, South, 2, 1, 8, 474,West, 473
28, 20, 13, 10, 5, True, True, True, True, West, 4, 2, 0, 1, 999999, 1, 3, 999999, 0, 2, 1, 0, 0, 0, 0, 1, None, East, East, None, Stop, 1, 1, 9, 473,South, 672
29, 20, 13, 10, 4, True, True, True, True, South, 4, 1, 3, 1, 1, 999999, 3, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, North, 4, 1, 10, 672,North, 671
30, 20, 13, 10, 5, True, True, True, True, North, 4, 1, 3, 0, 999999, 999999, 3, 999999, 0, 0, 1, 0, 1, 0, 0, 0, None, None, North, None, North, 3, 1, 9, 671,West, 670
31, 20, 13, 9, 5, True, True, True, True, West, 4, 1, 2, 0, 999999, 999999, 2, 999999, 0, 0, 1, 0, 1, 0, 0, 0, None, None, North, None, North, 2, 1, 10, 670,West, 669
32, 20, 13, 8, 5, True, True, True, True, West, 4, 1, 1, 0, 999999, 999999, 1, 999999, 0, 0, 1, 0, 0, 0, 0, 0, None, None, Stop, None, Stop, 1, 1, 11, 669,West, 868
1, 31, 17, 15, 3, False, False, True, True, Stop, 4, 4, 7, 0, 6, 999999, 13, 7, 3, 0, 1, 3, 0, 0, 0, 0, Stop, None, Stop, Stop, Stop, 13, 9, 3, 0,East, -1
2, 31, 17, 16, 3, False, False, True, True, East, 4, 4, 7, 0, 6, 999999, 14, 7, 3, 0, 1, 3, 0, 0, 0, 1, East, None, Stop, East, East, 13, 9, 3, -1,East, -2
3, 31, 17, 17, 3, False, False, True, True, East, 4, 4, 5, 0, 6, 999999, 14, 5, 3, 0, 1, 3, 0, 0, 1, 1, West, None, East, West, West, 11, 9, 4, -2,East, -3
4, 31, 17, 18, 3, False, False, True, True, East, 4, 4, 4, 0, 6, 999999, 15, 4, 3, 0, 1, 3, 0, 0, 2, 1, West, None, East, West, West, 10, 9, 3, -3,East, -4
5, 31, 17, 19, 3, True, False, False, True, East, 4, 4, 4, 0, 6, 999999, 16, 4, 3, 0, 1, 3, 1, 0, 2, 1, East, None, North, East, West, 9, 9, 2, -4,North, -5
6, 31, 17, 19, 4, True, True, False, False, North, 4, 4, 3, 1, 5, 1, 16, 3, 3, 1, 1, 3, 1, 0, 3, 0, West, West, North, West, West, 8, 9, 3, -5,North, -6
7, 31, 17, 19, 5, False, True, True, True, North, 4, 4, 4, 2, 4, 2, 16, 4, 3, 1, 1, 3, 1, 0, 2, 1, East, West, North, East, East, 8, 9, 3, -6,East, -7
8, 31, 17, 20, 5, False, False, True, True, East, 4, 4, 3, 2, 4, 2, 17, 3, 3, 1, 1, 3, 0, 2, 0, 2, East, East, South, East, East, 7, 9, 3, -7,East, -8
9, 31, 17, 21, 5, True, False, False, True, East, 4, 4, 2, 1, 4, 1, 18, 2, 3, 1, 1, 3, 2, 1, 0, 1, East, North, North, East, East, 6, 9, 2, -8,North, -9
10, 31, 17, 21, 6, True, True, False, False, North, 4, 4, 2, 1, 3, 1, 18, 2, 3, 1, 1, 3, 2, 1, 0, 1, East, North, North, East, East, 5, 9, 3, -9,North, -10
11, 31, 17, 21, 7, True, True, False, False, North, 4, 4, 2, 1, 2, 1, 18, 2, 3, 1, 1, 3, 2, 1, 0, 1, East, North, North, East, East, 4, 9, 3, -10,North, -11
12, 31, 17, 21, 8, True, True, False, False, North, 4, 4, 2, 1, 1, 2, 18, 2, 3, 1, 1, 3, 1, 0, 2, 1, East, West, North, East, East, 3, 9, 2, -11,North, -12
13, 31, 17, 21, 9, True, True, True, True, North, 4, 4, 3, 0, 3, 3, 18, 3, 2, 1, 1, 3, 0, 1, 2, 1, South, West, South, East, East, 3, 9, 3, -12,East, -13
14, 31, 17, 22, 9, False, False, True, True, East, 4, 4, 2, 0, 4, 3, 19, 2, 2, 1, 1, 3, 1, 0, 1, 2, North, West, North, East, East, 2, 9, 4, -13,East, -14
15, 31, 17, 23, 9, False, False, True, True, East, 4, 3, 2, 2, 4, 2, 20, 2, 2, 1, 1, 2, 2, 0, 1, 0, North, North, North, West, North, 6, 9, 5, 186,East, 185
16, 31, 17, 24, 9, False, False, True, True, East, 4, 3, 2, 3, 3, 3, 21, 2, 2, 1, 1, 2, 0, 2, 0, 1, South, South, South, East, South, 6, 9, 6, 185,East, 184
17, 31, 17, 25, 9, True, True, False, True, East, 4, 3, 0, 3, 4, 3, 22, 3, 2, 1, 1, 1, 1, 0, 1, 1, North, East, North, East, West, 5, 9, 5, 184,South, 183
18, 31, 17, 25, 8, True, True, False, False, South, 4, 3, 0, 2, 4, 2, 22, 4, 2, 1, 1, 1, 0, 1, 1, 1, South, East, South, East, East, 6, 9, 6, 183,South, 182
19, 31, 17, 25, 7, True, False, False, True, South, 4, 3, 0, 2, 6, 2, 22, 4, 2, 1, 1, 1, 1, 1, 1, 0, North, South, North, South, South, 6, 9, 7, 182,West, 181
20, 31, 17, 24, 7, False, False, True, True, West, 4, 3, 1, 1, 5, 1, 21, 1, 2, 1, 1, 2, 1, 1, 1, 0, South, North, South, West, North, 6, 9, 6, 181,West, 180
21, 31, 17, 23, 7, False, True, True, False, West, 4, 3, 2, 2, 4, 2, 20, 2, 2, 1, 1, 2, 0, 2, 1, 0, South, South, South, West, South, 8, 9, 5, 180,South, 179
22, 31, 17, 23, 6, True, True, False, False, South, 4, 3, 2, 0, 5, 999999, 20, 2, 2, 0, 1, 2, 2, 1, 0, 0, South, None, South, North, North, 6, 9, 5, 179,South, 178
23, 31, 17, 23, 5, True, True, True, False, South, 4, 3, 3, 1, 1, 999999, 20, 3, 3, 0, 1, 2, 1, 1, 0, 1, North, None, South, East, North, 7, 9, 4, 178,East, 177
24, 31, 17, 24, 5, False, False, True, True, East, 4, 3, 2, 1, 1, 999999, 21, 2, 3, 0, 1, 2, 1, 1, 0, 1, North, None, South, East, North, 6, 9, 5, 177,East, 176
25, 31, 17, 25, 5, False, True, True, True, East, 4, 3, 0, 0, 6, 999999, 22, 4, 2, 0, 1, 1, 1, 1, 1, 0, North, None, North, South, South, 4, 9, 6, 176,East, 175
26, 31, 17, 26, 5, False, False, True, True, East, 4, 3, 0, 1, 1, 999999, 23, 3, 3, 0, 1, 1, 2, 0, 0, 1, North, None, North, North, North, 4, 9, 7, 175,East, 174
27, 31, 17, 27, 5, True, False, False, True, East, 4, 3, 1, 1, 1, 999999, 1, 1, 3, 0, 2, 1, 1, 0, 1, 1, West, None, East, West, West, 2, 9, 8, 174,North, 173
28, 31, 17, 27, 6, True, True, True, False, North, 4, 3, 0, 0, 6, 999999, 24, 1, 2, 0, 1, 1, 0, 1, 0, 1, South, None, South, Stop, Stop, 1, 9, 9, 173,East, 372
29, 31, 17, 28, 6, False, False, True, True, East, 4, 2, 0, 7, 7, 999999, 25, 999999, 2, 0, 1, 0, 1, 0, 0, 1, North, None, North, None, East, 9, 9, 10, 372,West, 371
30, 31, 17, 27, 6, True, True, True, False, West, 4, 2, 2, 7, 7, 999999, 24, 2, 2, 0, 1, 1, 1, 0, 0, 1, North, None, North, East, East, 11, 9, 9, 371,North, 370
31, 31, 17, 27, 7, True, True, False, False, North, 4, 2, 2, 5, 5, 999999, 24, 2, 2, 0, 1, 1, 0, 1, 0, 1, South, None, South, East, East, 10, 9, 9, 370,North, 369
32, 31, 17, 27, 8, False, True, True, False, North, 4, 2, 1, 4, 4, 999999, 25, 1, 2, 0, 1, 1, 0, 0, 2, 0, West, None, West, West, West, 8, 9, 8, 369,East, 368
33, 31, 17, 28, 8, False, False, True, True, East, 4, 2, 0, 4, 4, 999999, 26, 999999, 2, 0, 1, 0, 0, 0, 2, 0, West, None, West, None, West, 7, 9, 9, 368,East, 367
34, 31, 17, 29, 8, True, False, False, True, East, 4, 2, 2, 4, 4, 999999, 2, 999999, 2, 0, 2, 0, 0, 0, 2, 0, West, None, West, None, West, 9, 9, 10, 367,North, 366
35, 31, 17, 29, 9, True, True, False, False, North, 4, 2, 1, 3, 3, 999999, 1, 999999, 2, 0, 2, 0, 0, 0, 0, 2, East, None, East, None, East, 7, 9, 9, 366,North, 365
36, 31, 17, 29, 10, False, True, False, True, North, 4, 2, 1, 2, 2, 999999, 1, 999999, 2, 0, 2, 0, 0, 0, 0, 2, East, None, East, None, East, 6, 9, 8, 365,West, 364
37, 31, 17, 28, 10, False, False, True, True, West, 4, 2, 0, 2, 2, 999999, 26, 999999, 2, 0, 1, 0, 0, 0, 1, 1, West, None, West, None, East, 5, 9, 7, 364,West, 363
38, 31, 17, 27, 10, True, False, True, False, West, 4, 2, 1, 2, 2, 999999, 24, 1, 2, 0, 1, 1, 0, 0, 0, 2, East, None, East, East, East, 6, 9, 6, 363,North, 362
39, 31, 17, 27, 11, True, True, False, False, North, 4, 2, 1, 0, 4, 999999, 24, 1, 1, 0, 1, 1, 0, 1, 0, 1, East, None, South, East, East, 5, 9, 5, 362,North, 361
40, 31, 17, 27, 12, True, True, True, False, North, 4, 2, 2, 1, 3, 1, 24, 2, 1, 1, 1, 1, 0, 1, 0, 1, East, South, South, East, East, 5, 9, 4, 361,North, 360
41, 31, 17, 27, 13, False, True, True, True, North, 4, 2, 1, 2, 2, 2, 24, 1, 1, 1, 1, 1, 0, 1, 1, 0, West, South, South, West, West, 3, 9, 3, 360,West, 359
42, 31, 17, 26, 13, True, False, True, False, West, 4, 2, 3, 1, 2, 1, 23, 3, 1, 1, 1, 1, 1, 0, 0, 1, East, North, North, East, East, 5, 9, 2, 359,North, 358
43, 31, 17, 26, 14, True, True, False, True, North, 4, 2, 3, 1, 1, 2, 23, 3, 1, 1, 1, 1, 1, 0, 0, 1, East, North, North, East, East, 4, 9, 1, 358,North, 357
44, 31, 17, 26, 15, False, True, True, True, North, 4, 2, 3, 0, 999999, 4, 23, 3, 0, 1, 1, 1, 0, 1, 0, 1, None, South, South, East, East, 3, 9, 2, 357,East, 356
45, 31, 17, 27, 15, False, False, True, True, East, 4, 2, 2, 0, 999999, 3, 24, 2, 0, 1, 1, 1, 1, 0, 0, 1, None, North, North, East, East, 2, 9, 3, 356,East, 355
46, 31, 17, 28, 15, False, False, True, True, East, 4, 2, 1, 0, 999999, 4, 25, 1, 0, 1, 1, 1, 0, 1, 0, 0, None, South, South, Stop, Stop, 1, 9, 4, 355,East, 554
47, 31, 17, 29, 15, False, False, False, True, East, 4, 1, 26, 3, 999999, 3, 26, 999999, 0, 1, 1, 0, 1, 0, 0, 0, None, North, North, None, North, 29, 9, 5, 554,West, 553
48, 31, 17, 28, 15, False, False, True, True, West, 4, 1, 25, 4, 999999, 4, 25, 999999, 0, 1, 1, 0, 0, 1, 0, 0, None, South, South, None, South, 29, 9, 4, 553,West, 552
49, 31, 17, 27, 15, False, False, True, True, West, 4, 1, 24, 5, 999999, 5, 24, 999999, 0, 1, 1, 0, 0, 1, 0, 0, None, South, South, None, South, 29, 9, 3, 552,West, 551
50, 31, 17, 26, 15, False, True, True, True, West, 4, 1, 24, 5, 999999, 5, 24, 999999, 0, 1, 1, 0, 0, 0, 1, 0, None, West, West, None, West, 29, 9, 2, 551,South, 550
51, 31, 17, 26, 14, True, True, False, True, South, 4, 1, 23, 4, 999999, 4, 23, 999999, 0, 1, 1, 0, 0, 0, 0, 1, None, East, East, None, East, 27, 9, 1, 550,South, 549
52, 31, 17, 26, 13, True, False, True, False, South, 4, 1, 24, 3, 999999, 3, 24, 999999, 0, 1, 1, 0, 0, 0, 1, 0, None, West, West, None, West, 27, 9, 2, 549,East, 548
53, 31, 17, 27, 13, False, True, True, True, East, 4, 1, 26, 3, 999999, 3, 26, 999999, 0, 1, 1, 0, 0, 0, 1, 0, None, West, West, None, West, 29, 9, 3, 548,South, 547
54, 31, 17, 27, 12, True, True, True, False, South, 4, 1, 26, 3, 999999, 3, 26, 999999, 0, 1, 1, 0, 0, 1, 0, 0, None, South, South, None, South, 29, 9, 4, 547,South, 546
55, 31, 17, 27, 11, True, True, False, False, South, 4, 1, 26, 1, 999999, 1, 26, 999999, 0, 1, 1, 0, 1, 0, 0, 0, None, North, North, None, North, 27, 9, 5, 546,South, 545
56, 31, 17, 27, 10, True, False, True, False, South, 4, 1, 26, 0, 999999, 999999, 26, 999999, 0, 0, 1, 0, 1, 0, 0, 0, None, None, North, None, North, 26, 9, 6, 545,East, 544
57, 31, 17, 28, 10, False, False, True, True, East, 4, 1, 26, 0, 999999, 999999, 26, 999999, 0, 0, 1, 0, 0, 0, 0, 1, None, None, East, None, East, 26, 9, 7, 544,East, 543
58, 31, 17, 29, 10, False, True, False, True, East, 4, 1, 28, 0, 999999, 999999, 28, 999999, 0, 0, 1, 0, 0, 0, 1, 0, None, None, West, None, West, 28, 9, 8, 543,South, 542
59, 31, 17, 29, 9, True, True, False, False, South, 4, 1, 27, 1, 1, 999999, 27, 999999, 1, 0, 1, 0, 0, 0, 0, 1, East, None, East, None, East, 28, 9, 9, 542,South, 541
60, 31, 17, 29, 8, True, False, False, True, South, 4, 1, 28, 2, 2, 999999, 28, 999999, 1, 0, 1, 0, 0, 0, 1, 0, West, None, West, None, Stop, 29, 9, 10, 541,West, 540
61, 31, 17, 28, 8, False, False, True, True, West, 4, 1, 26, 2, 2, 999999, 26, 999999, 1, 0, 1, 0, 0, 0, 0, 1, East, None, East, None, East, 28, 9, 9, 540,West, 539
62, 31, 17, 27, 8, False, True, True, False, West, 4, 1, 24, 2, 2, 999999, 24, 999999, 1, 0, 1, 0, 0, 0, 0, 1, East, None, East, None, East, 26, 9, 8, 539,South, 538
63, 31, 17, 27, 7, True, True, False, False, South, 4, 1, 24, 4, 4, 999999, 24, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 26, 9, 9, 538,South, 537
64, 31, 17, 27, 6, True, True, True, False, South, 4, 1, 24, 6, 6, 999999, 24, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 25, 9, 9, 537,South, 536
65, 31, 17, 27, 5, True, False, False, True, South, 4, 1, 24, 7, 7, 999999, 24, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 24, 9, 8, 536,West, 535
66, 31, 17, 26, 5, False, False, True, True, West, 4, 1, 23, 7, 7, 999999, 23, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 23, 9, 7, 535,West, 534
67, 31, 17, 25, 5, False, True, True, True, West, 4, 1, 22, 6, 6, 999999, 22, 999999, 1, 0, 1, 0, 0, 1, 0, 0, South, None, South, None, Stop, 22, 9, 6, 534,West, 533
68, 31, 17, 24, 5, False, False, True, True, West, 4, 1, 21, 7, 7, 999999, 21, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 21, 9, 5, 533,West, 532
69, 31, 17, 23, 5, True, True, True, False, West, 4, 1, 20, 8, 8, 999999, 20, 999999, 1, 0, 1, 0, 1, 0, 0, 0, North, None, North, None, Stop, 20, 9, 4, 532,North, 531
70, 31, 17, 23, 6, True, True, False, False, North, 4, 1, 19, 7, 7, 999999, 19, 999999, 1, 0, 1, 0, 0, 0, 0, 1, East, None, East, None, Stop, 21, 9, 5, 531,North, 530
