@relation 'data/training_tutorial.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,10-12,23-33,35'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,True,False,0,4,5,4,999999,12,1,1,0,1,-1,South
True,True,True,False,1,3,5,3,999999,1,1,1,0,2,-1,South
True,True,True,False,1,1,7,1,999999,1,1,1,0,2,-1,South
True,True,True,False,1,1,7,1,999999,1,1,1,0,2,-1,South
True,True,True,False,1,0,8,999999,999999,1,1,0,0,2,-1,East
True,True,False,True,11,8,8,999999,999999,11,1,0,0,1,-1,North
True,True,True,True,11,8,8,999999,999999,11,1,0,0,1,-1,North
True,True,False,True,11,8,8,999999,999999,11,1,0,0,1,-1,North
True,True,True,True,11,7,7,999999,999999,11,1,0,0,1,-1,North
True,True,False,True,10,6,6,999999,999999,10,1,0,0,1,-1,North
True,True,True,True,9,5,5,999999,999999,9,1,0,0,1,-1,North
True,True,True,True,8,4,4,999999,999999,8,1,0,0,1,-1,North
True,True,True,True,8,4,4,999999,999999,8,1,0,0,1,-1,North
True,True,False,False,7,3,3,999999,999999,7,1,0,0,1,-1,North
True,True,True,True,7,2,2,999999,999999,7,1,0,0,1,-1,East
True,False,True,True,6,3,3,999999,999999,6,1,0,0,1,-1,East
True,False,True,True,5,3,3,999999,999999,5,1,0,0,1,-1,North
True,True,True,True,4,2,2,999999,999999,4,1,0,0,1,-1,North
True,True,True,True,4,0,999999,999999,999999,4,0,0,0,1,-1,North
True,True,True,True,5,1,999999,1,999999,5,0,1,0,1,-1,East
True,True,True,True,4,2,999999,2,999999,4,0,1,0,1,-1,East
True,False,True,True,2,2,999999,2,999999,2,0,1,0,1,-1,East
True,False,True,True,1,2,999999,2,999999,1,0,1,0,1,-1,East
True,True,True,True,1,2,999999,2,999999,1,0,1,0,1,-1,South
True,True,True,False,1,0,999999,999999,999999,1,0,0,0,1,-1,South
True,True,True,False,2,1,1,999999,999999,2,1,0,0,1,-1,North
True,True,True,False,3,0,999999,999999,999999,3,0,0,0,1,-1,East
True,True,True,True,1,0,999999,999999,999999,1,0,0,0,1,-1,East
False,True,True,False,0,9,999999,9,999999,1,0,4,0,3,-1,South
True,True,False,False,0,8,999999,8,999999,2,0,4,0,3,-1,South
True,True,True,False,0,7,999999,7,999999,2,0,4,0,3,-1,South
True,True,True,False,0,6,999999,6,999999,1,0,4,0,3,-1,South
True,True,True,False,0,5,999999,5,999999,1,0,4,0,3,-1,South
True,True,False,False,0,3,999999,3,999999,2,0,4,0,3,-1,South
True,True,True,False,1,2,999999,2,999999,1,0,4,0,4,-1,South
True,True,False,False,1,2,999999,2,999999,1,0,4,0,4,-1,South
True,True,False,False,1,1,999999,1,999999,1,0,4,0,4,-1,South
True,True,False,False,1,1,1,1,999999,1,1,3,0,4,-1,South
True,True,False,False,1,1,2,1,999999,1,1,3,0,4,-1,South
True,True,False,False,1,0,2,1,999999,1,1,2,0,4,-1,South
True,True,True,False,1,0,1,2,999999,1,2,1,0,4,-1,South
True,True,True,False,0,1,1,1,999999,2,3,1,0,3,-1,South
True,True,True,False,3,3,3,999999,999999,3,3,0,0,3,-1,North
True,True,True,False,3,2,2,999999,999999,3,3,0,0,3,-1,North
True,True,True,False,3,0,1,999999,999999,3,2,0,0,3,-1,East
False,True,True,True,1,0,1,999999,999999,1,2,0,0,3,-1,East
True,True,True,True,0,0,1,999999,999999,3,2,0,0,2,-1,North
True,True,True,False,2,1,3,1,999999,2,1,1,0,2,-1,South
True,True,True,True,1,0,3,999999,999999,1,1,0,0,2,-1,East
True,True,True,True,2,3,3,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,2,1,1,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,2,1,1,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,East
False,True,True,False,5,0,999999,2,999999,5,0,3,0,4,14,South
True,True,False,False,4,0,1,3,999999,4,1,2,0,4,13,North
False,True,True,False,4,0,999999,5,999999,4,0,2,0,4,14,East
False,False,True,True,3,0,999999,5,999999,3,0,2,0,4,13,East
False,False,True,True,3,0,999999,4,999999,3,0,2,0,4,12,East
False,False,True,True,2,0,999999,4,999999,2,0,2,0,4,11,East
False,True,True,True,1,0,999999,1,999999,1,0,3,0,4,10,East
False,True,True,True,0,2,999999,2,999999,7,0,2,0,1,9,South
True,True,False,True,0,2,999999,2,999999,7,0,2,0,1,8,South
True,True,True,True,0,2,999999,2,999999,7,0,2,0,1,7,South
True,True,True,True,0,1,999999,1,999999,7,0,2,0,1,6,South
True,False,True,True,1,0,999999,3,1,8,0,1,1,1,5,East
True,False,True,True,2,1,1,3,2,7,1,1,1,1,4,East
True,True,True,True,4,1,1,3,4,6,1,1,1,1,3,South
True,True,True,False,4,2,2,2,4,7,1,1,1,1,2,South
True,True,True,True,4,2,3,2,4,7,1,1,1,1,3,South
True,True,True,True,3,1,5,1,3,7,1,1,1,1,4,South
True,False,True,True,2,0,6,999999,2,8,1,0,1,1,5,West
True,False,True,True,1,1,1,999999,1,8,2,0,1,1,6,North
True,True,True,True,8,4,4,999999,999999,8,1,0,0,1,5,North
False,True,True,True,9,3,3,999999,999999,9,1,0,0,1,4,East
True,True,True,True,8,4,4,999999,999999,8,1,0,0,1,3,East
True,True,True,True,8,4,4,999999,999999,8,1,0,0,1,2,North
True,True,True,True,8,3,3,999999,999999,8,1,0,0,1,1,North
True,True,True,True,9,2,2,999999,999999,9,1,0,0,1,2,North
True,True,True,True,9,0,999999,999999,999999,9,0,0,0,1,3,North
False,True,True,True,9,0,999999,999999,999999,9,0,0,0,1,4,East
True,True,True,True,8,1,999999,1,999999,8,0,1,0,1,3,East
True,False,True,True,7,0,999999,999999,999999,7,0,0,0,1,4,East
False,True,True,True,6,1,1,999999,999999,6,1,0,0,1,3,East
False,True,True,True,5,1,1,999999,999999,5,1,0,0,1,2,East
True,True,True,True,4,0,999999,999999,999999,4,0,0,0,1,1,East
False,True,True,True,3,1,1,999999,999999,3,1,0,0,1,2,East
False,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,3,East
False,True,True,True,1,1,1,999999,999999,1,1,0,0,1,4,East
False,False,True,True,0,12,12,999999,1,3,4,0,2,1,-1,East
True,False,True,True,1,12,12,999999,1,1,4,0,3,1,-1,North
True,True,False,False,2,11,11,999999,2,2,4,0,3,1,-1,North
False,True,True,False,2,10,10,999999,2,2,4,0,3,1,-1,East
False,False,True,True,1,10,10,999999,3,1,4,0,3,1,-1,East
False,False,True,True,1,10,10,999999,1,999999,4,0,4,0,-1,East
True,False,False,True,2,10,10,999999,2,999999,4,0,4,0,-1,North
True,True,False,False,2,9,9,999999,2,999999,4,0,4,0,-1,North
True,True,False,False,3,8,8,999999,3,999999,4,0,4,0,-1,North
False,True,True,True,2,7,7,999999,2,999999,4,0,4,0,-1,East
False,False,True,True,3,7,7,999999,3,999999,4,0,4,0,-1,East
False,False,True,True,5,7,7,999999,5,999999,4,0,4,0,-1,East
True,True,False,True,6,7,7,999999,6,999999,4,0,4,0,-1,North
True,True,False,False,5,6,6,999999,5,999999,4,0,4,0,-1,North
True,True,False,False,5,5,5,999999,5,999999,4,0,4,0,-1,North
True,True,True,True,4,4,4,999999,4,999999,4,0,4,0,-1,North
True,True,False,False,5,3,3,999999,5,999999,4,0,4,0,-1,North
True,True,False,False,6,2,2,999999,6,999999,4,0,4,0,-1,North
