@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,11-12,23-33,35-weka.filters.unsupervised.attribute.Remove-R5'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
False,True,True,False,1,8,999999,8,999999,1,0,4,0,4,-1,South
True,True,False,False,0,8,999999,8,999999,1,0,4,0,3,-1,South
True,True,True,False,0,6,999999,6,999999,1,0,4,0,3,-1,South
True,True,True,False,0,5,999999,5,999999,2,0,4,0,3,-1,South
True,True,True,False,0,5,999999,5,999999,1,0,4,0,3,-1,South
True,True,False,False,1,3,999999,3,999999,1,0,4,0,4,-1,South
True,True,True,False,0,2,999999,2,999999,2,0,4,0,3,-1,South
True,True,False,False,1,1,999999,1,999999,1,0,4,0,4,-1,South
True,True,False,False,0,0,999999,5,999999,2,0,3,0,3,-1,South
True,True,False,False,0,1,1,3,999999,2,1,3,0,3,-1,South
True,True,False,False,0,1,2,1,999999,1,1,3,0,3,-1,South
True,True,False,False,0,2,3,2,999999,1,1,2,0,2,-1,South
True,True,True,False,1,1,4,1,999999,1,1,2,0,3,-1,South
True,True,True,False,1,1,5,1,999999,1,1,2,0,3,-1,South
True,True,True,False,2,0,6,1,999999,2,1,1,0,3,-1,South
True,False,True,False,2,0,1,999999,999999,2,2,0,0,3,-1,East
True,False,True,True,1,0,1,999999,999999,1,2,0,0,3,-1,East
True,False,True,True,1,0,1,999999,1,1,2,0,1,2,-1,East
True,False,True,True,2,1,1,999999,2,2,2,0,1,1,-1,North
True,True,True,True,1,0,5,999999,1,2,1,0,1,1,-1,North
True,True,True,True,0,1,4,1,999999,1,1,1,0,1,-1,West
True,True,True,True,0,1,3,1,999999,2,1,1,0,1,-1,West
True,True,True,True,2,1,3,1,999999,2,1,1,0,2,-1,South
True,True,True,True,2,0,4,999999,999999,2,1,0,0,2,-1,South
True,False,True,True,2,0,5,999999,999999,2,1,0,0,2,-1,East
True,False,True,True,1,1,1,999999,999999,1,2,0,0,2,-1,East
True,False,True,True,1,1,1,999999,999999,1,2,0,0,2,-1,North
True,True,True,True,1,1,1,999999,999999,1,2,0,0,2,-1,North
True,True,True,True,1,4,4,999999,999999,1,1,0,0,1,-1,North
True,True,True,True,2,3,3,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,2,2,2,999999,999999,2,1,0,0,1,-1,North
True,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,North
True,True,True,True,2,2,999999,2,999999,2,0,1,0,1,-1,East
True,True,True,True,0,2,999999,2,999999,999999,0,1,0,0,-1,North
False,True,True,True,1,3,999999,3,999999,1,0,1,0,1,-1,South
True,True,True,True,1,2,999999,2,999999,1,0,1,0,1,-1,South
True,True,True,True,1,2,999999,2,999999,1,0,1,0,1,-1,South
True,True,True,True,1,1,999999,1,999999,1,0,1,0,1,-1,South
True,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,East
True,False,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,East
False,False,True,True,1,1,999999,1,999999,1,0,1,0,1,-1,East
True,True,True,True,0,2,999999,2,999999,999999,0,1,0,0,-1,East
True,True,True,True,0,2,999999,2,999999,999999,0,1,0,0,-1,East
True,True,True,True,2,2,999999,2,2,999999,0,1,1,0,-1,South
True,True,True,True,2,2,999999,2,2,999999,0,1,1,0,-1,South
True,True,True,True,2,1,999999,1,2,999999,0,1,1,0,-1,South
True,False,True,True,1,0,999999,999999,1,999999,0,0,1,0,-1,West
False,True,True,False,5,0,999999,3,999999,5,0,3,0,4,14,East
False,False,True,True,4,0,999999,2,999999,4,0,3,0,4,13,East
False,False,True,True,3,0,999999,2,999999,3,0,3,0,4,12,East
False,False,True,True,1,0,999999,2,999999,1,0,3,0,4,11,East
False,True,True,True,0,0,999999,3,999999,1,0,3,0,3,10,East
False,True,True,True,0,0,999999,2,1,1,0,3,1,2,9,East
False,False,True,True,1,1,999999,1,1,5,0,3,2,1,8,East
False,False,True,True,2,1,999999,1,2,5,0,3,2,1,7,East
False,False,True,True,3,1,999999,1,3,4,0,3,2,1,6,East
False,True,True,True,4,1,999999,1,4,4,0,3,2,1,5,East
False,True,True,True,2,1,999999,1,6,2,0,3,2,1,4,East
False,False,True,True,0,0,999999,2,7,999999,0,2,2,0,3,East
False,False,True,True,2,0,999999,2,2,999999,0,2,3,0,2,East
False,True,True,True,3,0,999999,1,3,999999,0,2,3,0,9,South
True,True,False,False,3,1,1,1,3,999999,1,2,3,0,8,South
True,True,True,True,2,0,1,6,2,999999,1,1,3,0,7,West
False,True,True,True,1,1,2,1,1,999999,1,2,3,0,6,West
False,True,True,True,0,1,2,1,7,999999,1,2,2,0,5,West
True,False,True,True,1,0,2,6,6,1,1,1,2,1,4,West
True,True,True,True,2,1,1,1,5,2,1,2,2,1,3,West
False,True,True,True,4,1,2,1,4,4,1,2,2,1,4,East
True,True,True,True,3,1,2,1,5,3,1,2,2,1,3,East
True,False,True,True,3,1,2,1,5,3,1,2,2,1,4,East
False,True,True,True,2,1,1,1,6,2,1,2,2,1,5,East
False,True,True,True,2,1,1,1,8,2,1,2,2,1,6,South
True,True,True,True,2,1,1,1,7,2,2,1,2,1,5,South
True,False,True,True,3,0,2,999999,8,3,2,0,2,1,4,East
True,True,True,True,1,0,2,999999,9,1,2,0,2,1,5,East
True,False,True,True,0,1,1,999999,9,999999,3,0,2,0,6,North
True,True,True,True,1,0,1,999999,9,1,2,0,2,1,7,East
True,True,True,True,9,1,1,999999,9,999999,2,0,2,0,8,North
False,True,True,True,10,0,1,999999,10,999999,1,0,2,0,9,Stop
False,True,True,True,10,0,999999,1,10,999999,0,1,2,0,9,Stop
False,True,True,True,10,0,999999,2,10,999999,0,1,2,0,9,West
False,True,True,True,9,1,999999,1,9,999999,0,2,2,0,8,West
True,True,True,True,8,2,999999,2,8,999999,0,2,2,0,7,West
False,True,True,True,7,2,999999,2,7,999999,0,2,2,0,6,West
False,True,True,True,6,1,999999,1,6,999999,0,2,2,0,5,West
True,False,True,True,5,1,999999,1,5,999999,0,2,2,0,4,West
True,True,True,True,3,1,999999,1,3,999999,0,2,2,0,3,South
True,True,False,True,3,1,999999,1,3,999999,0,2,2,0,2,South
True,True,False,True,2,0,999999,2,2,999999,0,1,2,0,-1,South
True,True,False,True,1,1,1,1,1,999999,1,1,2,0,-1,West
True,True,True,True,0,1,1,2,7,999999,1,1,1,0,-1,North
True,True,True,True,7,3,999999,3,7,999999,0,1,1,0,-1,North
True,True,True,True,7,4,999999,4,7,999999,0,1,1,0,-1,North
False,True,True,True,6,5,999999,5,6,999999,0,1,1,0,-1,Stop
False,True,True,True,6,4,999999,4,6,999999,0,1,1,0,-1,South
True,True,True,True,5,3,999999,3,5,999999,0,1,1,0,-1,South
True,True,True,True,5,2,999999,2,5,999999,0,1,1,0,-1,South
True,True,True,True,5,2,999999,2,5,999999,0,1,1,0,-1,South
